id_registro,fecha,ciudad,categoria,canal,edad,ventas
1001,2025-02-10,Bogotá,Salud,Online,34,1336.75
1002,2025-01-28,Bogotá,Retail,Tienda,40,2293.54
1003,2025-05-15,Cali,Salud,Tienda,16,209.96
1004,2025-03-13,Medellín,Salud,Call Center,20,1434.83
1006,2025-06-11,Bogotá,Educación,Tienda,19,2918.62
1007,2025-02-02,Medellín,Salud,Call Center,31,1391.24
1008,2025-02-17,Desconocido,Salud,Call Center,39,2367.42
1009,2025-05-31,Bogotá,Educación,Tienda,31,427.19
1010,2025-03-03,Bogotá,Salud,Online,17,4705.63
1011,2025-02-06,Desconocido,Salud,Online,40,2112.36
1012,2025-04-09,Bogotá,Educación,Tienda,64,2918.62
1014,2025-04-14,Bogotá,Salud,Call Center,47,2367.42
1015,2025-02-04,Bogotá,Educación,Tienda,42,4389.47
1016,2025-04-11,Barranquilla,Salud,Online,35,1200.5
1017,2025-06-24,Cartagena,Salud,Online,39,865.93
1018,2025-05-11,Bogotá,Finanzas,Call Center,40,1917.57
1019,2025-01-01,Medellín,Retail,Tienda,40,3899.13
1020,2025-01-05,Cartagena,Retail,Tienda,27,2427.83
1021,2025-05-22,Desconocido,Educación,Call Center,50,4927.17
1022,2025-04-13,Cali,Retail,Tienda,48,1914.86
1023,2025-01-27,Medellín,Educación,Tienda,48,3760.41
1024,2025-05-17,Cartagena,Retail,Call Center,58,1995.3
1025,2025-01-15,Medellín,Finanzas,Call Center,52,4154.36
1026,2025-05-13,Medellín,Educación,Online,40,2866.95
1027,2025-02-11,Cali,Retail,Tienda,18,364.38
1028,2025-05-04,Cali,Finanzas,Call Center,16,232.27
1029,2025-06-28,Barranquilla,Retail,Online,48,712.57
1030,2025-03-04,Cartagena,Salud,Tienda,55,117.68
1031,2025-04-06,Barranquilla,Salud,Online,25,423.03
1032,2025-02-21,Bogotá,Finanzas,Call Center,58,1200.5
1033,2025-04-06,Medellín,Salud,Tienda,59,2695.01
1034,2025-05-12,Medellín,Salud,Online,44,2367.42
1035,2025-05-31,Bogotá,Educación,Call Center,28,4570.17
1036,2025-05-23,Cali,Retail,Call Center,27,2946.49
1037,2025-06-20,Bogotá,Educación,Call Center,46,3644.3
1038,2025-01-29,Desconocido,Retail,Call Center,61,3797.55
1039,2025-02-05,Cartagena,Salud,Call Center,17,1920.36
