"Departamento","Municipio","Cultivo","Estado","Topografia","Drenaje","Riego","Fertilizantes aplicados","Secuencial"
"CUNDINAMARCA","FUNZA","Guisantes","Por establecer","Plano","Buen drenaje","Goteo","UREA","166"
"CUNDINAMARCA","FUNZA","Lechuga","Por establecer","Plano","Buen drenaje","Aspersión","15-15-15","248"
"CUNDINAMARCA","FUNZA","Zanahoria","Por establecer","Plano","Buen drenaje","Aspersión","15-15-15","249"
"CUNDINAMARCA","FUNZA","Maíz","Por establecer","Plano","Buen drenaje","Aspersión","15-15-15","306"
"CUNDINAMARCA","FUNZA","Lechuga","Establecido","Plano","Buen drenaje","Aspersión","COMPOSTAJE+QUIMICO EDAFICO+(DAP,KCL+FERTILIZACION LIQUIDA AL SUELO","388"
"CUNDINAMARCA","FUNZA","Ajo","Por establecer","Plano","Buen drenaje","Aspersión","UREA","677"
"CUNDINAMARCA","FUNZA","Ajo","Por establecer","Plano","Buen drenaje","Aspersión","UREA","678"
"CUNDINAMARCA","FUNZA","Ajo","Por establecer","Plano","No indica","No indica","No indica","1.047"
"CUNDINAMARCA","FUNZA","Ajo","Por establecer","Plano","No indica","No indica","No indica","1.048"
"CUNDINAMARCA","FUNZA","Ajo","Por establecer","Plano","No indica","No indica","No indica","1.049"
"CUNDINAMARCA","FUNZA","Calas","Establecido","Plano","Buen drenaje","Aspersión","No indica","4.533"
"CUNDINAMARCA","FUNZA","Calas","Establecido","Plano","Buen drenaje","Aspersión","No indica","4.583"
"CUNDINAMARCA","FUNZA","Calas","Establecido","Plano","Buen drenaje","Aspersión","No indica","4.761"
"CUNDINAMARCA","FUNZA","Tomate de Arbol","Establecido","Ondulado","Buen drenaje","No Tiene","QUIMICO","6.627"
"CUNDINAMARCA","FUNZA","Ajo","Por establecer","Plano","Buen drenaje","Aspersión","No indica","7.144"
"CUNDINAMARCA","FUNZA","Maracuyá","Por establecer","Ondulado","Buen drenaje","Goteo","No indica","7.395"
"CUNDINAMARCA","FUNZA","Granadilla","Establecido","Plano","Buen drenaje","No indica","No indica","7.837"
"CUNDINAMARCA","FUNZA","Maíz","Por establecer","Plano","Buen drenaje","Aspersión","BIOCOMPOST 13-26-6","18.163"
"CUNDINAMARCA","FUNZA","Gulupa","Establecido","Pendiente","Buen drenaje","Aspersión","No indica","18.241"
"CUNDINAMARCA","FUNZA","Gulupa","Por establecer","Plano","Buen drenaje","No indica","No indica","18.242"
"CUNDINAMARCA","FUNZA","Uchuva","Por establecer","Ondulado","Buen drenaje","No indica","No indica","18.735"
"CUNDINAMARCA","FUNZA","Lechuga","Establecido","No indica","Buen drenaje","Aspersión","COMPOS-TRIPLE 15","19.304"
"CUNDINAMARCA","FUNZA","Uchuva","Establecido","Ondulado","Buen drenaje","No Tiene","No indica","19.975"
"CUNDINAMARCA","FUNZA","Uchuva","Por establecer","No indica","Buen drenaje","No Tiene","No indica","20.529"
"CUNDINAMARCA","FUNZA","Uchuva","Establecido","Pendiente","Buen drenaje","No indica","No indica","22.957"
"CUNDINAMARCA","FUNZA","Clavel","Establecido","Plano","Regular drenaje","Aspersión","TRIPLE 15-QUIMICOS","29.750"
"CUNDINAMARCA","FUNZA","Gulupa","Por establecer","Plano","Regular drenaje","No indica","No indica","31.304"
"CUNDINAMARCA","FUNZA","Uchuva","Establecido","Ondulado","Buen drenaje","No indica","CALFOS ABONO FOSFORICO","31.709"
"CUNDINAMARCA","FUNZA","Hortalizas Varias","Por establecer","Plano","Buen drenaje","Aspersión","No indica","31.908"
"CUNDINAMARCA","FUNZA","Hortalizas Varias","Por establecer","Plano","Buen drenaje","Aspersión","No indica","31.909"
"CUNDINAMARCA","FUNZA","Hortalizas Varias","Por establecer","Plano","Buen drenaje","No indica","No indica","31.911"
"CUNDINAMARCA","FUNZA","Hortalizas Varias","Por establecer","Plano","Buen drenaje","Aspersión","No indica","31.916"
"CUNDINAMARCA","FUNZA","Uchuva","Establecido","Ondulado","Buen drenaje","No indica","No indica","32.587"
"CUNDINAMARCA","FUNZA","Uchuva","Establecido","Ondulado","Buen drenaje","No indica","No indica","32.588"
"CUNDINAMARCA","FUNZA","Uchuva","Establecido","Ondulado","Buen drenaje","No indica","No indica","33.011"
"CUNDINAMARCA","FUNZA","Uchuva","Por establecer","Ondulado","Buen drenaje","No indica","Ninguno","33.097"
"CUNDINAMARCA","FUNZA","Uchuva","Por establecer","Ondulado","Buen drenaje","No indica","Ninguno","34.655"
"CUNDINAMARCA","FUNZA","Uchuva","Por establecer","Ondulado","Buen drenaje","No indica","No indica","35.808"
"CUNDINAMARCA","FUNZA","Uchuva","Por establecer","Ondulado","Buen drenaje","No indica","No indica","35.810"
"CUNDINAMARCA","FUNZA","Uchuva","Por establecer","Ondulado","Buen drenaje","No indica","No indica","35.813"
"CUNDINAMARCA","FUNZA","Uchuva","Por establecer","Ondulado","Buen drenaje","No indica","No indica","35.960"
"CUNDINAMARCA","FUNZA","Tomate","Por establecer","Pendiente moderada","Regular drenaje","Goteo","NO","39.085"
"CUNDINAMARCA","FUNZA","Tomate","Por establecer","Pendiente moderada","Regular drenaje","Goteo","NO","39.086"
"CUNDINAMARCA","FUNZA","Caducifolios","Establecido","Plano","Buen drenaje","Aspersión","NO","39.284"
"CUNDINAMARCA","FUNZA","Lechuga","Establecido","Plano","Buen drenaje","Aspersión","SI","42.343"
"CUNDINAMARCA","FUNZA","Lechuga","Establecido","Plano","Buen drenaje","Aspersión","SI","42.373"
"CUNDINAMARCA","FUNZA","Lechuga","Establecido","Plano","Buen drenaje","Aspersión","SI","42.444"
"CUNDINAMARCA","FUNZA","Papa de año","Por establecer","Plano","Buen drenaje","No indica","No indica","42.838"
"CUNDINAMARCA","FUNZA","Pastos","Por establecer","Plano","Buen drenaje","No indica","No indica","43.106"
"CUNDINAMARCA","FUNZA","Pastos","Por establecer","Plano","Buen drenaje","No indica","No indica","43.108"
"CUNDINAMARCA","FUNZA","Ruscus","Establecido","Moderadamente ondulado","Buen drenaje","Manguera","SI","43.234"
"CUNDINAMARCA","FUNZA","No Indica","No indica","No indica","No indica","No indica","No indica","43.393"
"CUNDINAMARCA","FUNZA","Lechuga","Establecido","No indica","No indica","No Tiene","No indica","44.757"
"CUNDINAMARCA","FUNZA","Pastos","Establecido","Plano","Buen drenaje","No Tiene","SI","45.266"
"CUNDINAMARCA","FUNZA","Pastos","Establecido","Plano","Buen drenaje","No Tiene","SI","45.272"
"CUNDINAMARCA","FUNZA","Lechuga","Establecido","No indica","No indica","No indica","No indica","45.273"
"CUNDINAMARCA","FUNZA","Pastos","Establecido","Plano","Buen drenaje","Aspersión","SI","45.471"
"CUNDINAMARCA","FUNZA","Pastos","Establecido","Plano","Buen drenaje","Aspersión","SI","45.474"
"CUNDINAMARCA","FUNZA","No Indica","No indica","No indica","No indica","Aspersión","No indica","49.395"
"CUNDINAMARCA","FUNZA","No Indica","No indica","No indica","No indica","Aspersión","No indica","49.415"
"CUNDINAMARCA","FUNZA","Pasto KinGrass","Por establecer","Plano","Buen drenaje","Aspersión","SI","49.615"
"CUNDINAMARCA","FUNZA","Lechuga","ESTABLECIDO","Plano","Buen drenaje","Aspersión","No indica","50.543"
"CUNDINAMARCA","FUNZA","Gulupa","Por establecer","Pendiente fuerte","No indica","No indica","No indica","52.750"
"CUNDINAMARCA","FUNZA","No Indica","No indica","Plano","No indica","No Indica","Ninguno","57.904"
"CUNDINAMARCA","FUNZA","No Indica","No indica","Plano","No indica","No Indica","Ninguno","57.905"
"CUNDINAMARCA","FUNZA","No Indica","No indica","Plano","No indica","No Indica","Ninguno","57.906"
"CUNDINAMARCA","FUNZA","No Indica","No indica","Plano","No indica","No Indica","Ninguno","57.908"
"CUNDINAMARCA","FUNZA","Fresa","ESTABLECIDO","Plano","Mal drenaje","Goteo","Calcio, Sulfatos, Fosforo, Cal","59.308"
"CUNDINAMARCA","FUNZA","Hipérico","Por establecer","Moderadamente ondulado","Regular drenaje","No Indica","No indica","59.320"
